time,epoch,loss,accuracy,precision,recall,auc,mcc_01,mcc_05,mcc_09,mcc_099
08:14:28,69,0.1219962828680873,0.9620938,0.82977915,0.73989815,0.9774246,0.6756976,0.7630811,0.54867965,0.29299894
08:21:39,70,0.12369143049418926,0.96053123,0.8152257,0.73205084,0.976996,0.6694211,0.7511725,0.5384874,0.2807843
08:28:51,71,0.12192281069606542,0.9625,0.82633805,0.74127805,0.9767543,0.66997427,0.7623998,0.5559187,0.31334737
08:35:44,72,0.1218954187259078,0.9610625,0.82236075,0.7276801,0.9777542,0.6689784,0.75260735,0.54989487,0.29675543
08:42:44,73,0.12363139572739601,0.9603438,0.81916535,0.7257788,0.9761025,0.6655256,0.7496812,0.54988354,0.30858684
08:49:55,74,0.12285891072452068,0.96115625,0.8182866,0.73448277,0.9770853,0.664924,0.7542573,0.5437748,0.29483074
08:57:01,75,0.12142921613901854,0.96059376,0.8132162,0.7338849,0.9777428,0.6759873,0.7511992,0.53338975,0.28931624
09:03:50,76,0.12322344338148833,0.96090627,0.8187404,0.73239434,0.97657603,0.6699199,0.75324446,0.5495126,0.29734984
09:11:01,77,0.12344464401155711,0.9601875,0.8174817,0.7263086,0.9771833,0.6693407,0.74906594,0.5402413,0.28949314
09:18:12,78,0.12235440915077925,0.9610937,0.8187764,0.7332874,0.9770295,0.67177916,0.7538349,0.53860354,0.29462817
09:24:54,79,0.12210881451517344,0.96159375,0.8240918,0.7370041,0.97713315,0.6706016,0.758583,0.5387032,0.28622904
09:32:06,80,0.1210178213045001,0.9610625,0.81637335,0.7358621,0.9773612,0.6739442,0.7540031,0.5476685,0.30293426
09:39:18,81,0.12002807807177306,0.9614375,0.8136739,0.7458678,0.9787756,0.6737743,0.75808233,0.5529136,0.30333677
09:46:11,82,0.12097125663608313,0.96146876,0.82348454,0.7372014,0.9782277,0.675695,0.7583225,0.5531194,0.3144778
09:53:12,83,0.12037941578030587,0.96071875,0.8138825,0.73510164,0.9781109,0.67677516,0.7522189,0.5529776,0.29878443
10:00:23,84,0.12086342279613017,0.9613125,0.81797236,0.73600554,0.97804666,0.66918683,0.7549873,0.5446005,0.30309907
10:07:28,85,0.12365127899497748,0.961125,0.8212098,0.7340862,0.97648305,0.66205263,0.75542426,0.53818405,0.30220205
10:14:17,86,0.11871415506303311,0.96253127,0.82587254,0.7463147,0.97891855,0.6784471,0.7647983,0.5535233,0.31179035
10:21:29,87,0.11995651181787252,0.960875,0.8069251,0.7436698,0.97807693,0.67485243,0.7533813,0.5542641,0.30958873
10:28:40,88,0.120370629042387,0.96225,0.82840693,0.7392943,0.978137,0.67392355,0.7622084,0.5501827,0.31563333
10:35:21,89,0.119840825997293,0.9616875,0.82126695,0.7433447,0.97850627,0.67564267,0.7605682,0.55625045,0.3198801
10:42:33,90,0.12053769022971392,0.9620938,0.8172043,0.74275744,0.9775188,0.66753507,0.758565,0.5577205,0.32033032
10:49:44,91,0.1212132441624999,0.9607813,0.8238004,0.72943574,0.9780673,0.6749524,0.754037,0.5513272,0.31015322
10:56:37,92,0.12028096900880336,0.96175,0.81866664,0.74180186,0.97756314,0.6798461,0.7585684,0.546618,0.31322822
11:03:37,93,0.11870710588246584,0.96265626,0.8262857,0.74587345,0.9788242,0.6733573,0.76484185,0.55984503,0.31052864
11:10:49,94,0.12362927079945803,0.9604375,0.8105263,0.7388622,0.9768262,0.66669047,0.7523839,0.55194,0.31753555
11:17:54,95,0.12001995539665222,0.9615625,0.824314,0.7377217,0.9783019,0.6771665,0.7590418,0.55208707,0.3086135
11:24:43,96,0.1200266587883234,0.96159375,0.8190114,0.7409701,0.9780704,0.6775429,0.7582117,0.5538144,0.32019708
11:31:54,97,0.11957817771285773,0.96234375,0.82996106,0.7352637,0.9781368,0.67605746,0.7609078,0.5544057,0.31307155
11:39:06,98,0.11847643302381039,0.9626875,0.8242884,0.74819154,0.97939295,0.67893445,0.76510143,0.561265,0.32580835
11:45:47,99,0.12090718699991702,0.9605,0.811422,0.7327795,0.9783984,0.67561316,0.7497173,0.5462724,0.31661224
